1.2733e-11-1.6816e+05i,1.2733e-11+1.6816e+05i,-3.4106e-13-75774i,-3.4106e-13+75774i,7.276e-12-56346i,7.276e-12+56346i,-2.7285e-12-30856i,-2.7285e-12+30856i,1.4779e-12-23418i,1.4779e-12+23418i,0-12435i,0+12435i,-1.7621e-12-3579.6i,-1.7621e-12+3579.6i,3.4106e-12-5290.9i,3.4106e-12+5290.9i
-1.9043e-12-1.0769e+05i,-1.9043e-12+1.0769e+05i,0-88527i,0+88527i,-3.638e-12-31882i,-3.638e-12+31882i,-1.5916e-12-17767i,-1.5916e-12+17767i,1.3642e-12-9546.5i,1.3642e-12+9546.5i,1.7053e-12-6340.8i,1.7053e-12+6340.8i,0-4104.6i,0+4104.6i,-1.0782e-12-290.43i,-1.0782e-12+290.43i
-2.2737e-13-20806i,-2.2737e-13+20806i,1.1369e-13-9892.2i,1.1369e-13+9892.2i,1.1369e-13-6962i,1.1369e-13+6962i,-2.8422e-13-2064.9i,-2.8422e-13+2064.9i,-7.4607e-14-845.04i,-7.4607e-14+845.04i,0-490.87i,0+490.87i,-2.7001e-13-223.67i,-2.7001e-13+223.67i,-4.0856e-14-41.927i,-4.0856e-14+41.927i
5.6843e-13-19200i,5.6843e-13+19200i,-8.5265e-13-9829.2i,-8.5265e-13+9829.2i,3.4106e-13-6882.9i,3.4106e-13+6882.9i,-2.2737e-13-2348.7i,-2.2737e-13+2348.7i,2.5047e-13-1096.6i,2.5047e-13+1096.6i,4.9738e-14-465.35i,4.9738e-14+465.35i,-1.4211e-14-221.99i,-1.4211e-14+221.99i,3.5527e-14-92.229i,3.5527e-14+92.229i
7.6739e-13-16870i,7.6739e-13+16870i,9.0949e-13-7832.9i,9.0949e-13+7832.9i,1.1369e-13-4240.1i,1.1369e-13+4240.1i,9.9476e-14-1246.3i,9.9476e-14+1246.3i,3.6948e-13-971.95i,3.6948e-13+971.95i,-1.0658e-13-335.45i,-1.0658e-13+335.45i,-3.8636e-13-44.025i,-3.8636e-13+44.025i,5.2403e-14-116.13i,5.2403e-14+116.13i
0-41636i,0+41636i,-1.2506e-12-24214i,-1.2506e-12+24214i,-4.5475e-13-11084i,-4.5475e-13+11084i,9.0949e-13-6950.5i,9.0949e-13+6950.5i,0-4477.2i,0+4477.2i,8.2423e-13-1324.5i,8.2423e-13+1324.5i,-4.0501e-13-405.39i,-4.0501e-13+405.39i,-8.4199e-13-131.46i,-8.4199e-13+131.46i
-1.0004e-11-1.9414e+05i,-1.0004e-11+1.9414e+05i,9.3223e-12-1.1305e+05i,9.3223e-12+1.1305e+05i,1.819e-12-56480i,1.819e-12+56480i,1.3642e-12-39849i,1.3642e-12+39849i,0-10968i,0+10968i,7.9581e-13-7357.4i,7.9581e-13+7357.4i,-1.3642e-12-5393.4i,-1.3642e-12+5393.4i,-6.8781e-12-1399.2i,-6.8781e-12+1399.2i
1.819e-12-2.4831e+05i,1.819e-12+2.4831e+05i,0-69244i,0+69244i,3.638e-12-48645i,3.638e-12+48645i,2.0464e-12-31707i,2.0464e-12+31707i,4.5475e-12-15256i,4.5475e-12+15256i,7.9581e-13-8793.1i,7.9581e-13+8793.1i,-5.6843e-13-1273.5i,-5.6843e-13+1273.5i,-1.3927e-12-2116.1i,-1.3927e-12+2116.1i
0-1.3774e+05i,0+1.3774e+05i,6.3665e-12-88279i,6.3665e-12+88279i,1.279e-12-55228i,1.279e-12+55228i,1.9327e-12-32558i,1.9327e-12+32558i,0-20986i,0+20986i,1.1369e-12-10345i,1.1369e-12+10345i,-4.0075e-12-1489.3i,-4.0075e-12+1489.3i,-4.5475e-13-3285.3i,-4.5475e-13+3285.3i
-7.276e-12-2.0133e+05i,-7.276e-12+2.0133e+05i,3.638e-12-83335i,3.638e-12+83335i,-1.819e-12-63082i,-1.819e-12+63082i,-2.7285e-12-36439i,-2.7285e-12+36439i,0-23333i,0+23333i,-2.2737e-13-10623i,-2.2737e-13+10623i,2.8137e-12-1737.3i,2.8137e-12+1737.3i,2.5011e-12-7157.1i,2.5011e-12+7157.1i
5.0591e-12-1.479e+05i,5.0591e-12+1.479e+05i,6.1579e-70-77358i,6.1579e-70+77358i,-1.4779e-12-48336i,-1.4779e-12+48336i,0-26543i,0+26543i,-9.0949e-13-18597i,-9.0949e-13+18597i,-1.7195e-12-9640i,-1.7195e-12+9640i,-1.1369e-12-3690.8i,-1.1369e-12+3690.8i,8.3844e-13-910.45i,8.3844e-13+910.45i
9.0949e-12-1.4543e+05i,9.0949e-12+1.4543e+05i,9.2371e-13-88474i,9.2371e-13+88474i,1.819e-12-40445i,1.819e-12+40445i,-5.6843e-12-25142i,-5.6843e-12+25142i,4.7748e-12-15687i,4.7748e-12+15687i,1.1369e-13-7966i,1.1369e-13+7966i,-1.5916e-12-3918.8i,-1.5916e-12+3918.8i,1.5916e-12-990.23i,1.5916e-12+990.23i
-8.1855e-12-1.2606e+05i,-8.1855e-12+1.2606e+05i,-1.4552e-11-96933i,-1.4552e-11+96933i,1.819e-12-39749i,1.819e-12+39749i,-2.7285e-12-28275i,-2.7285e-12+28275i,5.457e-12-22112i,5.457e-12+22112i,2.2737e-12-10004i,2.2737e-12+10004i,5.5707e-12-4703.7i,5.5707e-12+4703.7i,-7.9581e-13-1056.1i,-7.9581e-13+1056.1i
-1.2506e-12-2.0872e+05i,-1.2506e-12+2.0872e+05i,7.5172e-52-1.0075e+05i,7.5172e-52+1.0075e+05i,9.0949e-13-60442i,9.0949e-13+60442i,9.0949e-13-30581i,9.0949e-13+30581i,-1.819e-12-21304i,-1.819e-12+21304i,-1.5916e-12-9255i,-1.5916e-12+9255i,1.3642e-12-2531.9i,1.3642e-12+2531.9i,-3.8511e-12-1160.3i,-3.8511e-12+1160.3i
0-1.192e+05i,0+1.192e+05i,-7.7307e-12-93209i,-7.7307e-12+93209i,-1.3642e-12-32334i,-1.3642e-12+32334i,3.638e-12-16569i,3.638e-12+16569i,3.1832e-12-13766i,3.1832e-12+13766i,-2.2737e-12-9948.4i,-2.2737e-12+9948.4i,2.16e-12-3503.8i,2.16e-12+3503.8i,-1.0871e-12-205.27i,-1.0871e-12+205.27i
-1.0914e-11-1.3524e+05i,-1.0914e-11+1.3524e+05i,-4.5475e-13-90216i,-4.5475e-13+90216i,-1.3642e-12-31362i,-1.3642e-12+31362i,-1.3642e-12-19941i,-1.3642e-12+19941i,1.1369e-12-12135i,1.1369e-12+12135i,-1.5916e-12-6655.8i,-1.5916e-12+6655.8i,2.0748e-12-2260.7i,2.0748e-12+2260.7i,-4.2064e-12-1008.1i,-4.2064e-12+1008.1i
1.5916e-12-1.5299e+05i,1.5916e-12+1.5299e+05i,9.0949e-12-1.214e+05i,9.0949e-12+1.214e+05i,-4.5475e-12-48396i,-4.5475e-12+48396i,2.0464e-12-26287i,2.0464e-12+26287i,-7.3896e-13-11076i,-7.3896e-13+11076i,-1.819e-12-6576.6i,-1.819e-12+6576.6i,-1.1937e-12-2541.2i,-1.1937e-12+2541.2i,-3.5243e-12-3587.8i,-3.5243e-12+3587.8i
-6.3665e-12-1.7949e+05i,-6.3665e-12+1.7949e+05i,2.2737e-13-78981i,2.2737e-13+78981i,-7.276e-12-41946i,-7.276e-12+41946i,-4.5475e-12-27426i,-4.5475e-12+27426i,1.5916e-12-13879i,1.5916e-12+13879i,4.5475e-13-6192.7i,4.5475e-13+6192.7i,-4.8885e-12-2578i,-4.8885e-12+2578i,1.1369e-12-481.11i,1.1369e-12+481.11i
-7.276e-12-2.7333e+05i,-7.276e-12+2.7333e+05i,0-2.1259e+05i,0+2.1259e+05i,1.3642e-12-59260i,1.3642e-12+59260i,-3.638e-12-38847i,-3.638e-12+38847i,0-14242i,0+14242i,-9.0949e-13-7666.7i,-9.0949e-13+7666.7i,2.2737e-12-5126.3i,2.2737e-12+5126.3i,9.3792e-13-1045.8i,9.3792e-13+1045.8i
1.819e-12-2.1084e+05i,1.819e-12+2.1084e+05i,1.5561e-12-1.664e+05i,1.5561e-12+1.664e+05i,-3.638e-12-61724i,-3.638e-12+61724i,1.3642e-12-37808i,1.3642e-12+37808i,4.2633e-13-13308i,4.2633e-13+13308i,2.2737e-13-8934.2i,2.2737e-13+8934.2i,-4.0927e-12-4423.8i,-4.0927e-12+4423.8i,-1.0161e-12-460.04i,-1.0161e-12+460.04i
1.3642e-12-2.4399e+05i,1.3642e-12+2.4399e+05i,3.4106e-12-1.4425e+05i,3.4106e-12+1.4425e+05i,-5.9117e-12-78567i,-5.9117e-12+78567i,-1.1369e-12-35823i,-1.1369e-12+35823i,-3.1548e-12-16725i,-3.1548e-12+16725i,3.5527e-12-7728.6i,3.5527e-12+7728.6i,-8.3844e-13-3544.3i,-8.3844e-13+3544.3i,8.9742e-12-352.92i,8.9742e-12+352.92i
-1.0459e-11-2.5825e+05i,-1.0459e-11+2.5825e+05i,2.0464e-12-1.3295e+05i,2.0464e-12+1.3295e+05i,-3.2969e-12-66140i,-3.2969e-12+66140i,3.0695e-12-28796i,3.0695e-12+28796i,-1.819e-12-19387i,-1.819e-12+19387i,0-11319i,0+11319i,1.6414e-12-1360i,1.6414e-12+1360i,-5.6843e-13-5895.2i,-5.6843e-13+5895.2i
0-1.5633e+05i,0+1.5633e+05i,0-76906i,0+76906i,3.4106e-12-45138i,3.4106e-12+45138i,2.2737e-13-24621i,2.2737e-13+24621i,-1.7053e-13-18394i,-1.7053e-13+18394i,5.9686e-13-10554i,5.9686e-13+10554i,-2.0535e-12-3454.2i,-2.0535e-12+3454.2i,6.8212e-13-6687.4i,6.8212e-13+6687.4i
7.276e-12-1.9393e+05i,7.276e-12+1.9393e+05i,-9.5213e-13-70523i,-9.5213e-13+70523i,-3.4106e-13-43860i,-3.4106e-13+43860i,-9.0949e-13-29374i,-9.0949e-13+29374i,-4.5475e-12-17847i,-4.5475e-12+17847i,9.0949e-13-10686i,9.0949e-13+10686i,-1.0729e-12-1742.7i,-1.0729e-12+1742.7i,-2.2737e-13-6266.9i,-2.2737e-13+6266.9i
0-2.3262e+05i,0+2.3262e+05i,4.5475e-13-81862i,4.5475e-13+81862i,1.819e-12-31793i,1.819e-12+31793i,-3.0695e-12-16698i,-3.0695e-12+16698i,1.3642e-12-12776i,1.3642e-12+12776i,1.5916e-12-7728.9i,1.5916e-12+7728.9i,-1.7053e-12-1736.3i,-1.7053e-12+1736.3i,-2.4443e-12-4360.6i,-2.4443e-12+4360.6i
0-2.4309e+05i,0+2.4309e+05i,-4.5299e-83-1.2779e+05i,-4.5299e-83+1.2779e+05i,0-81755i,0+81755i,2.8422e-12-23380i,2.8422e-12+23380i,-2.7285e-12-10522i,-2.7285e-12+10522i,-4.5475e-12-7775.9i,-4.5475e-12+7775.9i,-1.6485e-12-2583.8i,-1.6485e-12+2583.8i,7.9581e-13-3726.4i,7.9581e-13+3726.4i
0-1.8626e+05i,0+1.8626e+05i,-7.276e-12-1.1743e+05i,-7.276e-12+1.1743e+05i,1.0232e-12-67732i,1.0232e-12+67732i,-2.2737e-12-37017i,-2.2737e-12+37017i,1.819e-12-20778i,1.819e-12+20778i,-4.0927e-12-10130i,-4.0927e-12+10130i,8.8107e-13-7126.4i,8.8107e-13+7126.4i,-4.2188e-14-39.349i,-4.2188e-14+39.349i
-1.819e-12-1.5142e+05i,-1.819e-12+1.5142e+05i,0-77450i,0+77450i,-9.0949e-13-43344i,-9.0949e-13+43344i,5.9117e-12-26733i,5.9117e-12+26733i,-5.1159e-13-11986i,-5.1159e-13+11986i,-2.7285e-12-10364i,-2.7285e-12+10364i,-3.6948e-12-777.69i,-3.6948e-12+777.69i,6.8212e-13-7269.7i,6.8212e-13+7269.7i
-8.1855e-12-2.503e+05i,-8.1855e-12+2.503e+05i,0-61030i,0+61030i,-1.819e-12-40865i,-1.819e-12+40865i,-2.2737e-12-20846i,-2.2737e-12+20846i,4.3201e-12-8553.8i,4.3201e-12+8553.8i,-1.1369e-12-6095.4i,-1.1369e-12+6095.4i,3.4106e-12-4751i,3.4106e-12+4751i,-9.0949e-13-314.09i,-9.0949e-13+314.09i
-1.6485e-12-1.2138e+05i,-1.6485e-12+1.2138e+05i,0-66794i,0+66794i,-3.1832e-12-41704i,-3.1832e-12+41704i,-1.819e-12-30511i,-1.819e-12+30511i,-2.7285e-12-21860i,-2.7285e-12+21860i,2.7285e-12-14311i,2.7285e-12+14311i,5.6843e-13-4575.2i,5.6843e-13+4575.2i,-1.7621e-12-697.02i,-1.7621e-12+697.02i
2.899e-12-2.0349e+05i,2.899e-12+2.0349e+05i,-1.4552e-11-1.2163e+05i,-1.4552e-11+1.2163e+05i,5.6843e-13-53775i,5.6843e-13+53775i,-7.276e-12-34080i,-7.276e-12+34080i,-5.457e-12-22981i,-5.457e-12+22981i,-4.5475e-13-9453.8i,-4.5475e-13+9453.8i,6.8781e-12-3045.3i,6.8781e-12+3045.3i,1.0232e-12-3882.4i,1.0232e-12+3882.4i
1.2278e-11-1.6321e+05i,1.2278e-11+1.6321e+05i,3.638e-12-68840i,3.638e-12+68840i,2.16e-12-40860i,2.16e-12+40860i,-3.1832e-12-31458i,-3.1832e-12+31458i,0-23456i,0+23456i,-2.6148e-12-11456i,-2.6148e-12+11456i,-4.5475e-13-5802.7i,-4.5475e-13+5802.7i,1.6556e-12-681.09i,1.6556e-12+681.09i
3.638e-12-1.7811e+05i,3.638e-12+1.7811e+05i,-5.0022e-12-1.2436e+05i,-5.0022e-12+1.2436e+05i,-5.457e-12-48006i,-5.457e-12+48006i,-4.2348e-12-11050i,-4.2348e-12+11050i,-1.5916e-12-8239.1i,-1.5916e-12+8239.1i,3.7517e-12-4787.1i,3.7517e-12+4787.1i,-1.819e-12-1911.7i,-1.819e-12+1911.7i,-2.8706e-12-626.88i,-2.8706e-12+626.88i
6.6223e-12-1.2299e+05i,6.6223e-12+1.2299e+05i,-4.5475e-12-79409i,-4.5475e-12+79409i,-3.638e-12-36357i,-3.638e-12+36357i,6.8212e-12-18273i,6.8212e-12+18273i,-1.3642e-12-15418i,-1.3642e-12+15418i,1.1369e-13-6744.3i,1.1369e-13+6744.3i,-6.8212e-13-3345.2i,-6.8212e-13+3345.2i,-9.0949e-13-191.76i,-9.0949e-13+191.76i
0-1.709e+05i,0+1.709e+05i,7.276e-12-85996i,7.276e-12+85996i,-4.5475e-12-38096i,-4.5475e-12+38096i,6.8745e-13-21413i,6.8745e-13+21413i,1.819e-12-12639i,1.819e-12+12639i,9.0949e-13-6001.3i,9.0949e-13+6001.3i,-1.5916e-12-2474.3i,-1.5916e-12+2474.3i,-8.3134e-13-797.57i,-8.3134e-13+797.57i
-6.2528e-12-2.734e+05i,-6.2528e-12+2.734e+05i,-5.0022e-12-84883i,-5.0022e-12+84883i,-9.0949e-13-50514i,-9.0949e-13+50514i,1.3642e-12-33382i,1.3642e-12+33382i,6.8212e-13-11369i,6.8212e-13+11369i,-1.5916e-12-7178i,-1.5916e-12+7178i,-4.4551e-12-1152i,-4.4551e-12+1152i,5.5707e-12-3721.2i,5.5707e-12+3721.2i
1.7053e-11-2.0806e+05i,1.7053e-11+2.0806e+05i,4.5475e-12-90853i,4.5475e-12+90853i,-2.7285e-12-37151i,-2.7285e-12+37151i,2.0464e-12-28816i,2.0464e-12+28816i,-4.0927e-12-10813i,-4.0927e-12+10813i,-1.3642e-12-5820.4i,-1.3642e-12+5820.4i,1.4779e-12-3807.7i,1.4779e-12+3807.7i,5.6843e-14-1108i,5.6843e-14+1108i
8.1855e-12-1.2349e+05i,8.1855e-12+1.2349e+05i,-1.819e-12-70468i,-1.819e-12+70468i,4.5475e-13-32079i,4.5475e-13+32079i,2.16e-12-20218i,2.16e-12+20218i,-4.0927e-12-16032i,-4.0927e-12+16032i,-3.638e-12-9583.1i,-3.638e-12+9583.1i,-2.9559e-12-3711.1i,-2.9559e-12+3711.1i,3.0553e-13-887.41i,3.0553e-13+887.41i
2.6148e-12-2.2846e+05i,2.6148e-12+2.2846e+05i,-6.3665e-12-1.0925e+05i,-6.3665e-12+1.0925e+05i,-1.1369e-12-44284i,-1.1369e-12+44284i,1.1369e-12-28549i,1.1369e-12+28549i,-3.1832e-12-24961i,-3.1832e-12+24961i,-2.9559e-12-7386.3i,-2.9559e-12+7386.3i,2.2737e-12-2692.6i,2.2737e-12+2692.6i,7.3896e-13-880.15i,7.3896e-13+880.15i
-1.0914e-11-2.4334e+05i,-1.0914e-11+2.4334e+05i,-6.3665e-12-1.1809e+05i,-6.3665e-12+1.1809e+05i,-9.0949e-13-56164i,-9.0949e-13+56164i,-2.6148e-12-33756i,-2.6148e-12+33756i,-4.4338e-12-19814i,-4.4338e-12+19814i,-1.5916e-12-2014.6i,-1.5916e-12+2014.6i,-3.5243e-12-8197.1i,-3.5243e-12+8197.1i,9.3792e-13-6394.1i,9.3792e-13+6394.1i
2.2737e-12-1.4891e+05i,2.2737e-12+1.4891e+05i,0-67707i,0+67707i,1.4779e-12-44350i,1.4779e-12+44350i,6.8212e-13-27420i,6.8212e-13+27420i,-3.638e-12-20966i,-3.638e-12+20966i,4.8885e-12-8213.7i,4.8885e-12+8213.7i,5.1159e-13-2029i,5.1159e-13+2029i,-6.8212e-13-4983.6i,-6.8212e-13+4983.6i
-1.0004e-11-1.782e+05i,-1.0004e-11+1.782e+05i,-1.1369e-13-90813i,-1.1369e-13+90813i,3.638e-12-57958i,3.638e-12+57958i,1.4211e-12-24166i,1.4211e-12+24166i,1.3642e-12-19879i,1.3642e-12+19879i,-1.1369e-12-10841i,-1.1369e-12+10841i,-1.5774e-12-1377.3i,-1.5774e-12+1377.3i,-5.6843e-13-6974.8i,-5.6843e-13+6974.8i
0-2.0283e+05i,0+2.0283e+05i,7.276e-12-1.2914e+05i,7.276e-12+1.2914e+05i,7.5033e-12-61601i,7.5033e-12+61601i,2.7285e-12-34682i,2.7285e-12+34682i,4.5475e-13-19469i,4.5475e-13+19469i,0-11103i,0+11103i,-1.1937e-12-4064.4i,-1.1937e-12+4064.4i,2.2737e-12-5668.7i,2.2737e-12+5668.7i
-3.0127e-12-2.4159e+05i,-3.0127e-12+2.4159e+05i,-3.638e-12-1.0839e+05i,-3.638e-12+1.0839e+05i,1.3642e-12-61957i,1.3642e-12+61957i,4.5475e-12-26493i,4.5475e-12+26493i,-2.6716e-12-16917i,-2.6716e-12+16917i,-4.5475e-13-10970i,-4.5475e-13+10970i,-7.9581e-13-4441.1i,-7.9581e-13+4441.1i,5.5991e-12-994.67i,5.5991e-12+994.67i
4.0927e-12-2.0929e+05i,4.0927e-12+2.0929e+05i,-1.0914e-11-80848i,-1.0914e-11+80848i,1.3642e-12-43225i,1.3642e-12+43225i,1.9327e-12-27560i,1.9327e-12+27560i,-2.2737e-12-13159i,-2.2737e-12+13159i,1.5916e-12-6041.7i,1.5916e-12+6041.7i,-1.5916e-12-4035i,-1.5916e-12+4035i,2.558e-13-839.93i,2.558e-13+839.93i
5.9117e-12-2.1266e+05i,5.9117e-12+2.1266e+05i,4.5475e-13-95283i,4.5475e-13+95283i,-2.3306e-12-41211i,-2.3306e-12+41211i,-7.9581e-13-26876i,-7.9581e-13+26876i,1.3642e-12-9438.2i,1.3642e-12+9438.2i,-2.6716e-12-6718.4i,-2.6716e-12+6718.4i,-3.4106e-13-3098.8i,-3.4106e-13+3098.8i,-1.4779e-12-4730.4i,-1.4779e-12+4730.4i
-1.1823e-11-1.8629e+05i,-1.1823e-11+1.8629e+05i,7.5343e-69-1.114e+05i,7.5343e-69+1.114e+05i,1.819e-12-63838i,1.819e-12+63838i,6.8212e-13-22687i,6.8212e-13+22687i,2.8422e-12-17105i,2.8422e-12+17105i,-1.8758e-12-12361i,-1.8758e-12+12361i,-1.5064e-12-866.27i,-1.5064e-12+866.27i,1.3642e-12-7313.7i,1.3642e-12+7313.7i
-3.1832e-12-1.7265e+05i,-3.1832e-12+1.7265e+05i,8.7781e-98-1.1501e+05i,8.7781e-98+1.1501e+05i,-1.8758e-12-48230i,-1.8758e-12+48230i,3.8654e-12-30384i,3.8654e-12+30384i,-4.7748e-12-20211i,-4.7748e-12+20211i,-2.5011e-12-8709.3i,-2.5011e-12+8709.3i,2.2737e-13-2818.1i,2.2737e-13+2818.1i,6.0822e-12-969.05i,6.0822e-12+969.05i
-8.1855e-12-2.1598e+05i,-8.1855e-12+2.1598e+05i,7.276e-12-83181i,7.276e-12+83181i,-1.1369e-12-47939i,-1.1369e-12+47939i,-2.0464e-12-29036i,-2.0464e-12+29036i,3.9257e-13-11774i,3.9257e-13+11774i,-3.5243e-12-3048i,-3.5243e-12+3048i,1.3642e-12-6256.1i,1.3642e-12+6256.1i,1.819e-12-5108.6i,1.819e-12+5108.6i
0-1.8127e+05i,0+1.8127e+05i,6.8212e-13-87384i,6.8212e-13+87384i,-3.638e-12-34475i,-3.638e-12+34475i,3.4106e-13-15837i,3.4106e-13+15837i,2.2737e-13-14090i,2.2737e-13+14090i,2.9559e-12-3804.3i,2.9559e-12+3804.3i,-1.0232e-12-2088.7i,-1.0232e-12+2088.7i,1.7906e-12-174.47i,1.7906e-12+174.47i
-7.276e-12-2.3643e+05i,-7.276e-12+2.3643e+05i,4.8885e-12-69456i,4.8885e-12+69456i,4.2064e-12-36895i,4.2064e-12+36895i,6.8212e-12-20143i,6.8212e-12+20143i,-3.7517e-12-11191i,-3.7517e-12+11191i,0-6790.5i,0+6790.5i,-2.2737e-13-3777.2i,-2.2737e-13+3777.2i,-2.8777e-12-127.16i,-2.8777e-12+127.16i
3.638e-12-1.7336e+05i,3.638e-12+1.7336e+05i,5.6843e-13-88080i,5.6843e-13+88080i,3.638e-12-47509i,3.638e-12+47509i,6.3665e-12-28584i,6.3665e-12+28584i,0-19524i,0+19524i,6.8212e-13-8431.1i,6.8212e-13+8431.1i,-3.1832e-12-4587.9i,-3.1832e-12+4587.9i,-1.1369e-13-2086.9i,-1.1369e-13+2086.9i
6.8212e-13-1.4499e+05i,6.8212e-13+1.4499e+05i,-7.276e-12-1.1007e+05i,-7.276e-12+1.1007e+05i,-4.3201e-12-34999i,-4.3201e-12+34999i,-1.819e-12-30165i,-1.819e-12+30165i,4.5475e-13-20764i,4.5475e-13+20764i,6.8212e-13-9279.2i,6.8212e-13+9279.2i,2.8209e-12-2499.8i,2.8209e-12+2499.8i,1.7053e-12-3911.3i,1.7053e-12+3911.3i
6.0254e-12-1.2696e+05i,6.0254e-12+1.2696e+05i,2.6361e-12-84378i,2.6361e-12+84378i,-8.8107e-13-54673i,-8.8107e-13+54673i,-1.4779e-12-32462i,-1.4779e-12+32462i,-4.5475e-13-21307i,-4.5475e-13+21307i,-2.2737e-12-11914i,-2.2737e-12+11914i,4.4338e-12-1609.6i,4.4338e-12+1609.6i,-2.0464e-12-3613.7i,-2.0464e-12+3613.7i
3.638e-12-2.183e+05i,3.638e-12+2.183e+05i,-9.0949e-12-85661i,-9.0949e-12+85661i,-2.2737e-13-61321i,-2.2737e-13+61321i,4.5475e-13-35314i,4.5475e-13+35314i,6.8212e-13-22744i,6.8212e-13+22744i,1.819e-12-8115.2i,1.819e-12+8115.2i,-4.4906e-12-7231.9i,-4.4906e-12+7231.9i,-4.0323e-13-93.452i,-4.0323e-13+93.452i
-2.5011e-12-1.4709e+05i,-2.5011e-12+1.4709e+05i,-4.5475e-13-74385i,-4.5475e-13+74385i,1.3785e-12-49200i,1.3785e-12+49200i,-7.276e-12-27106i,-7.276e-12+27106i,-5.6843e-12-18492i,-5.6843e-12+18492i,-2.2169e-12-9957.4i,-2.2169e-12+9957.4i,-2.2737e-13-4251.5i,-2.2737e-13+4251.5i,1.3358e-12-1076.8i,1.3358e-12+1076.8i
-5.9117e-12-1.2624e+05i,-5.9117e-12+1.2624e+05i,-1.1369e-12-79082i,-1.1369e-12+79082i,-1.1369e-12-38426i,-1.1369e-12+38426i,1.7053e-12-18839i,1.7053e-12+18839i,4.718e-12-15552i,4.718e-12+15552i,-1.3642e-12-7150.7i,-1.3642e-12+7150.7i,-6.8212e-13-4319.6i,-6.8212e-13+4319.6i,2.5295e-12-269.43i,2.5295e-12+269.43i
-1.2733e-11-1.2844e+05i,-1.2733e-11+1.2844e+05i,7.8444e-12-1.0494e+05i,7.8444e-12+1.0494e+05i,2.7285e-12-34843i,2.7285e-12+34843i,9.0949e-13-25381i,9.0949e-13+25381i,2.9274e-12-13415i,2.9274e-12+13415i,-1.3642e-12-9248.5i,-1.3642e-12+9248.5i,1.2506e-12-3639.1i,1.2506e-12+3639.1i,-2.7711e-13-208.86i,-2.7711e-13+208.86i
3.638e-12-2.4466e+05i,3.638e-12+2.4466e+05i,-3.638e-12-1.146e+05i,-3.638e-12+1.146e+05i,2.2737e-12-62121i,2.2737e-12+62121i,-5.457e-12-39275i,-5.457e-12+39275i,-4.5475e-13-24878i,-4.5475e-13+24878i,4.7748e-12-11093i,4.7748e-12+11093i,-1.1369e-12-1676.5i,-1.1369e-12+1676.5i,2.2737e-13-4977i,2.2737e-13+4977i
0-2.3864e+05i,0+2.3864e+05i,0-1.1284e+05i,0+1.1284e+05i,-9.0949e-13-45429i,-9.0949e-13+45429i,-1.3642e-12-29884i,-1.3642e-12+29884i,1.5916e-12-22898i,1.5916e-12+22898i,-9.0949e-13-6690.7i,-9.0949e-13+6690.7i,-1.4779e-12-2360.9i,-1.4779e-12+2360.9i,1.7053e-13-498.48i,1.7053e-13+498.48i
0-2.5016e+05i,0+2.5016e+05i,4.5475e-12-1.061e+05i,4.5475e-12+1.061e+05i,3.638e-12-70258i,3.638e-12+70258i,2.1316e-12-36752i,2.1316e-12+36752i,-6.3665e-12-19547i,-6.3665e-12+19547i,-7.276e-12-12198i,-7.276e-12+12198i,-4.5475e-13-2311.1i,-4.5475e-13+2311.1i,-2.0464e-12-5877.2i,-2.0464e-12+5877.2i
-1.7621e-11-2.9096e+05i,-1.7621e-11+2.9096e+05i,-6.8212e-12-1.2845e+05i,-6.8212e-12+1.2845e+05i,-3.1832e-12-77112i,-3.1832e-12+77112i,9.0949e-13-26196i,9.0949e-13+26196i,2.7285e-12-20930i,2.7285e-12+20930i,9.0949e-13-12733i,9.0949e-13+12733i,-5.2296e-12-6886.3i,-5.2296e-12+6886.3i,1.1369e-13-2030.3i,1.1369e-13+2030.3i
1.4552e-11-4.3783e+05i,1.4552e-11+4.3783e+05i,1.8758e-12-1.0193e+05i,1.8758e-12+1.0193e+05i,-3.1832e-12-51746i,-3.1832e-12+51746i,-6.3665e-12-24646i,-6.3665e-12+24646i,9.0949e-13-14710i,9.0949e-13+14710i,-7.1054e-14-9394i,-7.1054e-14+9394i,7.9581e-12-4873.1i,7.9581e-12+4873.1i,3.2969e-12-1636.2i,3.2969e-12+1636.2i
-1.0914e-11-2.7692e+05i,-1.0914e-11+2.7692e+05i,4.0927e-12-94229i,4.0927e-12+94229i,-3.1832e-12-56958i,-3.1832e-12+56958i,-6.3665e-12-33319i,-6.3665e-12+33319i,-9.0949e-13-20320i,-9.0949e-13+20320i,5.9117e-12-13377i,5.9117e-12+13377i,0-10241i,0+10241i,-5.2296e-12-1879.9i,-5.2296e-12+1879.9i
4.4409e-13-1.4847e+05i,4.4409e-13+1.4847e+05i,0-1.0137e+05i,0+1.0137e+05i,-3.638e-12-62602i,-3.638e-12+62602i,9.0949e-13-34527i,9.0949e-13+34527i,5.457e-12-16515i,5.457e-12+16515i,1.3642e-12-9097.2i,1.3642e-12+9097.2i,-3.5101e-12-7540.1i,-3.5101e-12+7540.1i,9.3792e-13-385.13i,9.3792e-13+385.13i
